"SHIRLEY AND LEE","LEGENDARY MASTERS- SHIRLEY & LEE","United Arlists (S) UA-M026-G2","5.00","7.50","10.00"
"SHIRLEY AND LEE","LET THE GOOD 1(MES NOLL","Score (M) SLP 4023","10.00","20.00","30.00"
"SHIRLEY AND LEE","LET THE GOOD TIMES RQLL","Warwick (M) 2028","9.00","22.50","36.00"
"SHIRLEY AND LEE","LET THE GOOD TIMES TOLL","lmperial (M) A-9179","8.00","20.00","32.00"
"SHIVA'S HEADBAND","COMING TO A HEAD","Armadillo no #","6.00","9.00","12.00"
"SHIVA'S HEADBAND","TAKE ME TO THE MOUNTAINS","Capitol (S) ST 538","4.50","6.75","9.00"
"SHOCKlNG BLUE","SHOCKING BLUE","Colosssus (S) CS 1000","3.00","4.50","6.00"
"SHONDELL, Troy","MANY SIDES OF TROY SHONDELL","Everest (M) BR 5206","3.50","7.00","10.50"
"SHONDELL, Troy","MANY SIDES OF TROY SHONDELL","Everest (S ) SD 1206","4.50","9.00","12.50"
"SHONDELLS","SHONDELLS AT THE SATURDAY HOP","La Louisianne (M) LL 109","6.00","15.00","24.00"
"SHOOT","0N THE FRONTlER","EMI (S) SMAS 11229","3.00","4.50","6.00"
"SHORTY","SHORTY","Epic (S) BN 26563","4.00","6.00","8.00"
"SHOTGUNS","30 DANCE HITS","W yncote (M) W 9094","2.00","4.00","6.00"
"SHOTGUNS","30 DANCE HlTS","W yncote (S ) WS 9094","2.50","5.00","7.50"
"SIDEKICKS","SlDEKICKS FIRST ALBUM FOR YOU","RCA (M) LPM 3712","3.00","4.50","6.00"
"SIDEKICKS","SlDEKICKS FlRST ALBUM FOR YOU","RCA (S) LSP 3712","3.50","5.25","7.00"
"SICKNIKS","SlCK #Z","Amy (M) 2","4.00","8.00","12.00"
"SlDEWINDERS","SlDEWINDERS","RCA (S) LSP 4696","5.00","7.50","10.00"
"SlGLER, Bunny","LET THE GOOD TIMES ROLL","Parkway (M) P 50,000","3.00","4.50","6.00"
"SlGLER, Bunny","LET 1HE GOOD TIMES ROLL","Parkway tS) PS 50,000","4.00","6.00","8.00"
"SILHOUETTES","GET A JOB","Goodway (M) GLP 100","8.00","16.00","24.00"
"SlLHOUETTES","CONVERSATlONS WlTH THE SILOUETTES","Segue (M) SEG 1001","2.50","3.75","5.00"
"SILK","SMOO1H AS RAW SlLK","ABC tS1 ABCS 694","3.00","4.00","6.00"
"SlLKlE","YOU'VE GOT TO HlDE YOUR LOVE AWAY","Fontana (M) MGF 27548","3.00","6.00","9.00"
"SlLKlE","YO","#E G01 10 BI0E y00g","g","",""
"SlLKlE","LOVE AWAY","Fontana (S) SRF 67548","4.00","8.00","12.00"
"SILLY SURFERS","SOUNDS OF SILLY SUBFEB6","Mercur y (M) 60977","4.00","8.00","12.00"
"SlLVER APPLES","COHTACT","Kapp (S) KS 3584","3.00","4.00","6.00"
"SlLVER APPLES","SlLVER APPLES","Kapp (S) KS 3562","3.00","4.00","6.00"
"SlLVER METRE","SILVER METRE","National General (M) NG 2000","4.00","6.00","8.00"
"SILVERHEAD","SILVERHEAD","Signpost (M) SP 8407","3.00","4.00","6.00"
"SILVERHEAD","SILVERHEAD","MCA (M) 306","2.50","3.75","5.00"
"SILVERHEAD","SIXTEEN AND SAVAGE","MCA (M) 391","2.50","3.75","5.00"
